1.3980 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
29.1257 	EXP 	grating: ori = 1.0
29.1257 	EXP 	fixation: autoDraw = True
30.1259 	EXP 	grating: autoDraw = True
30.1420 	EXP 	fixation: autoDraw = False
30.4379 	EXP 	grating: autoDraw = False
30.8253 	EXP 	New trial (rep=9, index=0): None
30.8281 	DATA 	Keypress: up
30.8323 	EXP 	fixation: autoDraw = False
30.8323 	EXP 	grating: autoDraw = False
30.8323 	EXP 	grating: ori = 2.0
30.8323 	EXP 	fixation: autoDraw = True
31.8247 	EXP 	grating: autoDraw = True
31.8379 	EXP 	fixation: autoDraw = False
32.1416 	EXP 	grating: autoDraw = False
32.6418 	EXP 	New trial (rep=10, index=0): None
32.6445 	DATA 	Keypress: down
32.6499 	EXP 	fixation: autoDraw = False
32.6499 	EXP 	grating: autoDraw = False
32.6499 	EXP 	grating: ori = 0.0
32.6499 	EXP 	fixation: autoDraw = True
33.6415 	EXP 	grating: autoDraw = True
33.6549 	EXP 	fixation: autoDraw = False
33.9588 	EXP 	grating: autoDraw = False
34.5420 	EXP 	New trial (rep=11, index=0): None
34.5448 	DATA 	Keypress: up
34.5593 	EXP 	fixation: autoDraw = False
34.5593 	EXP 	grating: autoDraw = False
34.5593 	EXP 	grating: ori = 0.0
34.5593 	EXP 	fixation: autoDraw = True
35.5591 	EXP 	grating: autoDraw = True
35.5752 	EXP 	fixation: autoDraw = False
35.8548 	EXP 	grating: autoDraw = False
36.5124 	EXP 	New trial (rep=12, index=0): None
36.5152 	DATA 	Keypress: up
36.5210 	EXP 	fixation: autoDraw = False
36.5210 	EXP 	grating: autoDraw = False
36.5210 	EXP 	grating: ori = 2.0
36.5210 	EXP 	fixation: autoDraw = True
37.5214 	EXP 	fixation: autoDraw = False
37.5214 	EXP 	grating: autoDraw = True
37.8250 	EXP 	grating: autoDraw = False
38.3906 	EXP 	New trial (rep=13, index=0): None
38.3923 	DATA 	Keypress: down
38.4046 	EXP 	fixation: autoDraw = False
38.4046 	EXP 	grating: autoDraw = False
38.4046 	EXP 	grating: ori = 0.0
38.4046 	EXP 	fixation: autoDraw = True
39.3881 	EXP 	grating: autoDraw = True
39.4049 	EXP 	fixation: autoDraw = False
39.6918 	EXP 	grating: autoDraw = False
40.6292 	EXP 	New trial (rep=14, index=0): None
40.6320 	DATA 	Keypress: up
40.6413 	EXP 	fixation: autoDraw = False
40.6413 	EXP 	grating: autoDraw = False
40.6413 	EXP 	grating: ori = 2.0
40.6413 	EXP 	fixation: autoDraw = True
